Zip,City,State,2015_population
01001,Agawam,MA,15220
01002,Amherst,MA,16570
01003,Amherst,MA,184
01004,Amherst,MA,794
01005,Barre,MA,4270
01007,Belchertown,MA,14180
01008,Blandford,MA,1140
01009,Bondsville,MA,1238
01010,Brimfield,MA,3420
01011,Chester,MA,1090
01012,Chesterfield,MA,610
01013,Chicopee,MA,18880
01014,Chicopee,MA,354
01020,Chicopee,MA,25790
01021,Chicopee,MA,566
01022,Chicopee,MA,1780
01026,Cummington,MA,890
01027,Easthampton,MA,16320
01028,East Longmeadow,MA,15330
01029,East Otis,MA,557
01030,Feeding Hills,MA,11010
01031,Gilbertville,MA,1000
01032,Goshen,MA,470
01033,Granby,MA,5890
01034,Granville,MA,1860
01035,Hadley,MA,4620
01036,Hampden,MA,4880
01037,Hardwick,MA,779
01038,Hatfield,MA,2280
01039,Haydenville,MA,1240
01040,Holyoke,MA,29750
01041,Holyoke,MA,1408
01050,Huntington,MA,2270
01053,Leeds,MA,1520
01054,Leverett,MA,1750
01056,Ludlow,MA,18130
01057,Monson,MA,7600
01059,North Amherst,MA,70
01060,Northampton,MA,11260
01061,Northampton,MA,469
01062,Florence,MA,10090
01063,Northampton,MA,177
01066,North Hatfield,MA,402
01068,Oakham,MA,1790
01069,Palmer,MA,7190
01070,Plainfield,MA,540
01071,Russell,MA,1390
01072,Shutesbury,MA,1350
01073,Southampton,MA,5980
01074,South Barre,MA,655
01075,South Hadley,MA,14590
01077,Southwick,MA,8820
01079,Thorndike,MA,992
01080,Three Rivers,MA,2000
01081,Wales,MA,1490
01082,Ware,MA,8840
01083,Warren,MA,3037
01084,West Chesterfield,MA,137
01085,Westfield,MA,34780
01086,Westfield,MA,886
01088,West Hatfield,MA,490
01089,West Springfield,MA,25520
01090,West Springfield,MA,510
01092,West Warren,MA,1332
01093,Whately,MA,516
01094,Wheelwright,MA,340
01095,Wilbraham,MA,13840
01096,Williamsburg,MA,2310
01097,Woronoco,MA,88
01098,Worthington,MA,1060
01101,Springfield,MA,2038
01102,Springfield,MA,0
01103,Springfield,MA,1580
01104,Springfield,MA,19290
01105,Springfield,MA,8040
01106,Longmeadow,MA,15400
01107,Springfield,MA,8420
01108,Springfield,MA,21860
01109,Springfield,MA,21920
01111,Springfield,MA,0
01115,Springfield,MA,25
01116,Longmeadow,MA,82
01118,Springfield,MA,12820
01119,Springfield,MA,11040
01128,Springfield,MA,2610
01129,Springfield,MA,6540
01133,Springfield,MA,0
01138,Springfield,MA,688
01139,Springfield,MA,467
01144,Springfield,MA,0
01151,Indian Orchard,MA,7630
01152,Springfield,MA,0
01195,Springfield,MA,0
01199,Springfield,MA,0
01201,Pittsfield,MA,38200
01202,Pittsfield,MA,1387
01203,Pittsfield,MA,0
01220,Adams,MA,7260
01222,Ashley Falls,MA,730
01223,Becket,MA,1930
01224,Berkshire,MA,160
01225,Cheshire,MA,2970
01226,Dalton,MA,5910
01227,Dalton,MA,262
01229,Glendale,MA,163
01230,Great Barrington,MA,6260
01235,Hinsdale,MA,2580
01236,Housatonic,MA,1420
01237,Lanesboro,MA,2720
01238,Lee,MA,5160
01240,Lenox,MA,4110
01242,Lenox Dale,MA,559
01243,Middlefield,MA,315
01244,Mill River,MA,328
01245,Monterey,MA,680
01247,North Adams,MA,11710
01252,North Egremont,MA,281
01253,Otis,MA,740
01254,Richmond,MA,1060
01255,Sandisfield,MA,600
01256,Savoy,MA,590
01257,Sheffield,MA,2080
