center,zip,poi,name,score,reviews,price,price,link,address,X,Y,size
diamond bar high school,91765,YOU ARE HERE,YOU ARE HERE,NaN,NaN,NaN,NaN,link,"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",-117.839089,33.982476,20
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Pho Hana Restaurant,4.4,100,1,1,link,"2777 S Diamond Bar Blvd, Diamond Bar",-117.838145,33.975528,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Curry India Bistro,4.3,229,2,2,link,"2779 S Diamond Bar Blvd, Diamond Bar",-117.838247,33.975417,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Young Dong Tofu House,4.4,146,2,2,link,"2839 S Diamond Bar Blvd, Diamond Bar",-117.83778,33.974638,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Cafe 101,4.2,44,NA,NA,link,"2763 S Diamond Bar Blvd, Diamond Bar",-117.837986,33.975814,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Tasty Box BBQ,4.5,41,NA,NA,link,"2769 S Diamond Bar Blvd, Diamond Bar",-117.838067,33.975751,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Kokio Chicken,3.7,87,NA,NA,link,"2841 S Diamond Bar Blvd # C, Diamond Bar",-117.838038,33.974471,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,"Mix Mi, Rice & Noodle Bistro",3.4,14,NA,NA,link,"2825 S Diamond Bar Blvd, Diamond Bar",-117.839079,33.974624,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Buns and Dums,0,0,NA,NA,link,"2709 S Diamond Bar Blvd, Diamond Bar",-117.836844,33.975626,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,秦夹馍,0,0,NA,NA,link,"2769 S Diamond Bar Blvd, Diamond Bar",-117.838044,33.975781,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Flame Broiler,3.8,25,1,1,link,"3475, 2839 S Diamond Bar Blvd # B, Diamond Bar",-117.83778,33.974638,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Gook Hwa House,3.7,50,2,2,link,"2825 S Diamond Bar Blvd, Diamond Bar",-117.839116,33.974577,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,Melt Ice and Teppan Bar,3.7,12,NA,NA,link,"2825 S Diamond Bar Blvd, Diamond Bar",-117.839177,33.974727,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,restaurant,China Tasty & BBQ,3.8,22,NA,NA,link,"2040 S Brea Canyon Rd #130, Diamond Bar",-117.844405,33.984501,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,cafe,Cafe 101,4.2,44,NA,NA,link,"2763 S Diamond Bar Blvd, Diamond Bar",-117.837986,33.975814,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,cafe,Blooming Cafe,5,5,NA,NA,link,"20955 Pathfinder Rd, Diamond Bar",-117.847137,33.98465,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,cafe,Boba Station,4.2,9,NA,NA,link,"21324 Pathfinder Rd, Diamond Bar",-117.840739,33.984005,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,cafe,Starbucks,4,133,2,2,link,"2837 S Diamond Bar Blvd, Diamond Bar",-117.837762,33.974782,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,cafe,Tea Rush,4.3,31,1,1,link,"2759 S Diamond Bar Blvd, Diamond Bar",-117.837891,33.97597,10
"21400 Pathfinder Rd, Diamond Bar, CA 91765, USA",91765,cafe,Tasty Box BBQ,4.5,41,NA,NA,link,"2769 S Diamond Bar Blvd, Diamond Bar",-117.838067,33.975751,10
classic bowl,60053,YOU ARE HERE,YOU ARE HERE,NaN,NaN,NaN,NaN,link,"8530 Waukegan Rd, Morton Grove, IL 60053, USA",-87.799451,42.036608,20
