"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","40.5"," ","3,010","3","201905","27"," ","2004"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,400","3","201906","4"," ","2004"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","2,300","2","201906","10"," ","2004"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","75"," ","9,275","3","201911","16"," ","2004"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","40.5"," ","3,080","3","201911","18"," ","2004"
"경기도 가평군 가평읍 달전리","일반","1**","북한강변로","자연녹지","숙박","8m미만","264.6","440.00","91,070","null","201912","30"," ","2016"
"경기도 가평군 가평읍 대곡리","일반","2**","새말옛로","제2종일반주거","제2종근린생활","8m미만","70.87","249.00","27,000","null","201902","12"," ","2013"
"경기도 가평군 가평읍 대곡리","집합","3**","문화로","제2종일반주거","제2종근린생활","25m미만","134.86"," ","17,000","1","201906","10"," ","2006"
"경기도 가평군 가평읍 대곡리","일반","1**","오리나무길","일반상업","제1종근린생활","12m미만","81.8","95.55","44,000","null","201909","30"," ","null"
"경기도 가평군 가평읍 대곡리","일반","2**","석봉로","제2종일반주거","제2종근린생활","25m미만","229.84","137.25","30,000","null","201911","12"," ","2008"
"경기도 가평군 가평읍 두밀리","일반","6*","태봉두밀로406번길","계획관리","제2종근린생활","8m미만","131.44","1237.00","29,000","null","201904","16"," ","2006"
"경기도 가평군 가평읍 상색리","일반","4**","경춘로","계획관리","제2종근린생활","25m미만","65.8","225.00","15,800","null","201905","13"," ","2006"
"경기도 가평군 가평읍 상색리","일반","1**","경춘로","계획관리","제2종근린생활","25m미만","511.72","420.00","43,000","null","201908","1"," ","2012"
"경기도 가평군 가평읍 상색리","일반","9*","경춘로","계획관리","제2종근린생활","25m미만","62.33","269.00","20,000","null","201910","14"," ","2005"
"경기도 가평군 가평읍 읍내리","집합","7**","가화로","제2종일반주거","제2종근린생활","12m미만","37.44"," ","8,000","1","201904","10"," ","2007"
"경기도 가평군 가평읍 읍내리","일반","5**","옥골길","제2종일반주거","제1종근린생활","12m미만","63.66","54.00","16,000","null","201909","24"," ","2001"
"경기도 가평군 가평읍 이화리","일반","1**","호반로","계획관리","숙박","-","80","109.00","9,507","null","201904","4"," ","2018"
"경기도 가평군 가평읍 이화리","일반","1**","호반로","계획관리","숙박","-","80","116.00","9,659","null","201904","4"," ","2018"
"경기도 가평군 가평읍 이화리","일반","1**","호반로","계획관리","제2종근린생활","-","286.46","438.00","30,004","null","201904","4"," ","2018"
"경기도 가평군 가평읍 이화리","일반","3**","호반로","계획관리","숙박","8m미만","108.69","384.00","41,000","null","201907","10"," ","2019"
"경기도 가평군 가평읍 이화리","일반","8*","호반로","계획관리","숙박","8m미만","721.88","1427.00","155,000","null","201908","15"," ","2018"
