"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분"
"서울특별시 성북구 정릉동","8**","잡종지","개발제한구역","8m미만","201901","2","8.45","1","지분"
"서울특별시 성동구 옥수동","3**","대","제2종일반주거지역","8m미만","201901","2","2.48","1,000","지분"
"서울특별시 강남구 삼성동","9*","대","제3종일반주거지역","25m미만","201901","2","663.3","1,060,000"," "
"서울특별시 동작구 신대방동","3**","대","제1종일반주거지역","-","201901","2","49","1,350","지분"
"서울특별시 금천구 가산동","5**","대","준공업지역","-","201901","2","2","1,555","지분"
"서울특별시 관악구 신림동","3**","대","자연녹지지역","8m미만","201901","2","78","28,000"," "
"서울특별시 중랑구 묵동","1**","도로","제1종일반주거지역","-","201901","2","132.24","3,900","지분"
"서울특별시 영등포구 신길동","4**","대","제2종일반주거지역","8m미만","201901","2","17","4,000"," "
"서울특별시 구로구 개봉동","1**","대","제3종일반주거지역","25m이상","201901","2","61","47,043"," "
"서울특별시 금천구 가산동","5**","대","준공업지역","-","201901","2","8.5","6,607","지분"
"서울특별시 금천구 가산동","5**","대","준공업지역","-","201901","2","9.5","7,384","지분"
