zip,sales,restaurant,violent crime,property crime,supermarket
90002,364.493997,834.1,65.6,68.3,135.95
90003,388.446215,1134.85,65.7,68.3,288.55
90004,733,1012.9,56.5,62.7,449.65
90005,616.636613,1286,65.3,68,449.3
90006,541.94464,1240.75,65.6,68.3,348.45
90008,546.248934,1085.05,60.9,65.7,450.2
90011,357.58229,1317.15,65.6,68.3,401.2
90012,561.220961,1233.85,64.4,67.2,262.9
90015,724.937343,1215.55,64.5,67.2,268.95
90016,615.631692,996.9,56.1,60.9,317.9
90017,955.128205,1216.55,64.1,66.9,240
90018,489.993993,1257.8,64.4,67.9,299.65
90019,655.931099,1163.85,54.4,60.2,427.05
90020,618.153365,1195.55,53,60.3,470.4
90024,834.775825,700.05,33.8,42.1,189.75
90025,664.02439,803.65,39.8,48.2,216.95
90026,693.321761,1265.2,58.3,64.1,266.8
90027,829.430743,1247.9,49.9,57.5,230.9
90028,706.576175,1234.1,63.8,66.7,281.2
90031,506.544639,1241.55,59.1,63.4,288.2
90032,522.635318,1348.45,52.5,56.4,266.7
90034,826.275695,506.75,44.3,52.7,467.85
90035,840.879689,550.95,36.6,45,440.9
90036,888.53306,855.45,40.9,50,323.9
90037,374.125874,1204.25,65.7,68.4,396.15
90038,686.71875,1254.45,64.2,67,353.05
90039,802.006689,1297.75,36,43.4,309.05
90041,632.37774,1087.4,31.9,39,312
90042,587.056513,1288.9,47.2,52.5,411.05
90043,452.484009,1306.2,56.1,60,359.1
90044,386.560694,1446.95,65.9,68.6,93.05
90045,727.949859,1269.25,26.4,34.6,255.4
90046,872.727273,940.2,42.3,50.9,335.25
90047,419.395833,1193.65,58.2,61.6,232.7
90048,999.640152,683.3,36.9,45.6,449.2
90049,990.679495,423.9,26.4,32.8,298.35
90059,384.615385,925.8,65.5,68.2,319.95
90061,357.66206,675.6,65.4,68.1,429.05
90062,444.72622,1217.1,63.1,66.3,446.45
90064,917.127445,503.3,27.7,33.5,178.95
90065,640.703594,1312.5,44.5,49.9,315.6
90066,898.734177,670.95,35.1,43.1,192.65
90068,755.602904,1043.75,32,40,225.5
90077,1133.786848,455.85,19.1,22.8,192.35
90094,805.978257,661.85,25.8,29.7,251.45
90272,1130.873297,617.6,19.9,23.8,335.95
90291,1286.83854,670.75,38,46.1,202.35
90292,794.392523,733.45,38.3,47,329.25
90293,675,744.85,26.5,35.1,302.6
90710,365.117949,1090.15,41.6,47,416.7
90731,434.727784,1307.65,53.7,59.3,277.5
90732,395.03386,1035.8,25.5,31,182.1
90744,371.96971,1295.65,58.2,61.8,381.3
91040,447.188954,512.55,26.9,32.6,302.45
91042,487.781955,176.05,37.1,43.2,224
91303,408.333333,684,54,59.9,254.95
91304,370.292257,615.05,37.5,43.8,233.2
91306,342.660566,663.55,34.8,40.9,362.15
91307,402.050932,568.05,23.1,27.4,259.3
91311,334.337561,756.75,27.4,31.7,301.6
91316,464.467251,532.1,32.6,39.8,504.8
91324,359.243597,655.9,32.9,39.9,438.8
91325,353.557074,466.25,34.7,41.9,424.45
91326,347.482746,717.1,22.3,26.9,311.85
91331,360.152225,762.5,43.3,47.3,358.55
91335,396.643088,586.55,43,48.5,411.25
91342,332.996109,537.5,33.7,39,288.6
91343,336.898396,403.65,42,47.4,376.7
91344,368.611356,946.65,24.6,29.5,466.65
91345,345.675208,889.7,28.6,34.4,371.45
91352,454.720628,701.6,43.9,48.7,323.15
91356,429.019736,640.15,29,36.3,447.1
91364,435.079424,619.45,24.9,30.4,309.9
91367,422.704348,676.05,26.6,34.6,254.95
91401,489.751177,613.95,47.8,54,353.4
91402,309.361438,367.85,55.9,60.6,281.85
91403,524.488697,571.1,28.2,36.7,355.9
91405,364.026615,385.8,57.6,62.9,386.85
91406,432.117528,486.7,47.1,52.9,399.1
91411,527.79812,458.55,55.4,61.1,381.75
91423,570.828561,691.9,30.5,39.1,353.1
91436,604.647908,464.05,19.8,23.7,448.85
91601,505.373593,738.4,55.4,62,168.95
91602,528.906013,774.25,37.5,45.7,221.65
91604,643.033226,507.4,31.3,39.4,302
91605,402.492151,730.55,52.1,57.2,419.9
91606,447.185874,710.55,50,56,359.6
91607,490.489,559.55,43.8,51.2,194.5
