Zip,Location,City,Population,Density
10162,"40.769298, -73.949942","New York, New York",1726,151834.77
10028,"40.776865, -73.954721","New York, New York",44987,126067.69
10128,"40.781656, -73.950281","New York, New York",59856,122356.52
08625,"40.207185, -74.756664","Trenton, New Jersey",1834,115477.17
10031,"40.825857, -73.949451","New York, New York",60221,101100.03
10009,"40.726622, -73.978955","New York, New York",58595,100687.04
10032,"40.839194, -73.942591","New York, New York",63842,97879.45
11372,"40.751706, -73.883561","Jackson Heights, New York",71308,97325.47
10016,"40.744983, -73.978262","New York, New York",51217,93367.31
10003,"40.731856, -73.989145","New York, New York",53673,93255.87
10002,"40.715952, -73.985870","New York, New York",84870,91610.4
10026,"40.802320, -73.952943","New York, New York",30377,91152.04
10023,"40.775394, -73.982197","New York, New York",62206,90007.7
10025,"40.797958, -73.964917","New York, New York",97086,88306.24
10453,"40.852779, -73.912332","Bronx, New York",76775,87970.27
10030,"40.818492, -73.943283","New York, New York",25847,85824.24
10021,"40.769742, -73.961653","New York, New York",102078,82704.42
11226,"40.646430, -73.956866","Brooklyn, New York",106154,81064.34
10029,"40.792245, -73.945230","New York, New York",75390,80506.67
10012,"40.725639, -73.998090","New York, New York",26000,80124.51
10033,"40.849124, -73.935956","New York, New York",58259,78867.63
10040,"40.858134, -73.929031","New York, New York",46599,75283.14
11104,"40.744515, -73.920457","Sunnyside, New York",29506,74459.01
10452,"40.837763, -73.923314","Bronx, New York",72138,74380.42
10011,"40.741844, -74.000711","New York, New York",46669,71113.64
10039,"40.826296, -73.937053","New York, New York",21737,70988.68
10456,"40.830877, -73.907954","Bronx, New York",76656,70924.4
10010,"40.739122, -73.982363","New York, New York",26408,70827.7
10468,"40.868093, -73.899730","Bronx, New York",78309,70721.85
10022,"40.758615, -73.967752","New York, New York",30642,68953.71
10037,"40.813159, -73.937352","New York, New York",16984,65200.97
10458,"40.862831, -73.886395","Bronx, New York",77840,62296.26
11103,"40.762634, -73.913156","Astoria, New York",44321,62111.19
11213,"40.671034, -73.936357","Brooklyn, New York",65440,61712.16
02113,"42.365170, -71.055363","Boston, Massachusetts",6401,60728.26
11373,"40.737347, -73.878716","Elmhurst, New York",105723,60548.99
10457,"40.846687, -73.898374","Bronx, New York",69048,58547.95
10024,"40.786307, -73.970694","New York, New York",61414,58433.71
10014,"40.733471, -74.007098","New York, New York",32667,57977.33
11216,"40.680854, -73.949144","Brooklyn, New York",55775,57545.77
11219,"40.632769, -73.996642","Brooklyn, New York",85987,57544.5
10472,"40.829650, -73.869368","Bronx, New York",64867,57252.59
11212,"40.662907, -73.912969","Brooklyn, New York",85161,55655.62
11221,"40.691310, -73.927772","Brooklyn, New York",76363,55063.29
10038,"40.709336, -74.002943","New York, New York",15574,55019.61
10027,"40.811407, -73.953564","New York, New York",56168,55006.21
11220,"40.641307, -74.016251","Brooklyn, New York",92718,54760.03
94108,"37.791998, -122.408653","San Francisco, California",13716,53134.47
11218,"40.643783, -73.975954","Brooklyn, New York",74611,51580.19
98174,"47.604569, -122.335359","Seattle, Washington",180,50978.44
10455,"40.814678, -73.908333","Bronx, New York",37465,50333.01
11106,"40.762211, -73.931528","Astoria, New York",43130,49707.26
10017,"40.752292, -73.972393","New York, New York",16201,49391.49
90057,"34.061918, -118.277939","Los Angeles, California",43986,49226.28
10462,"40.842823, -73.858861","Bronx, New York",72077,48907.02
11206,"40.702037, -73.942444","Brooklyn, New York",69032,48593.28
11237,"40.704160, -73.921139","Brooklyn, New York",48910,48552.49
11374,"40.726219, -73.861264","Rego Park, New York",44189,48499.11
10019,"40.766331, -73.985013","New York, New York",36012,48230.17
11230,"40.622104, -73.965118","Brooklyn, New York",88933,48088.05
07093,"40.788031, -74.011606","West New York, New Jersey",56559,47972.38
10034,"40.869208, -73.921929","New York, New York",41756,47051.23
11204,"40.618675, -73.984893","Brooklyn, New York",74880,46953.11
94109,"37.794487, -122.422270","San Francisco, California",56322,46521.46
10459,"40.825558, -73.893156","Bronx, New York",39080,46368.65
11217,"40.682306, -73.978099","Brooklyn, New York",35353,46140.97
11233,"40.678089, -73.919867","Brooklyn, New York",61955,46112.06
10013,"40.720067, -74.004829","New York, New York",25042,45458.99
11211,"40.713507, -73.952578","Brooklyn, New York",85089,44840.17
11225,"40.662236, -73.958951","Brooklyn, New York",63774,44803.32
94102,"37.779500, -122.419233","San Francisco, California",28991,44719.24
11102,"40.772884, -73.926295","Astoria, New York",36291,44416.74
