"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200101 ~ 20200127"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","59.8","202001","11","12,000","0","12","1997","경강로2539번길 8"
"강원도 강릉시 교동","1984","1984","0000","강릉 교동 풍림아이원 아파트","전세","84.9964","202001","9","24,000","0","4","2017","화부산로40번길 29"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","전세","118.0686","202001","15","29,000","0","2","2009","화부산로111번길 24"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","전세","59.89","202001","11","15,300","0","6","1999","가작로 78"
"강원도 강릉시 교동","1748","1748","0000","교동2주공","월세","51.95","202001","6","1,499","9","13","2002","가작로 85"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","전세","59.86","202001","2","17,000","0","7","2002","교동광장로 138-12"
"강원도 강릉시 교동","1773","1773","0000","부영1","월세","49.92","202001","6","4,192","17","12","1999","정원로 53-4"
"강원도 강릉시 교동","1773","1773","0000","부영1","월세","49.92","202001","8","4,378","11","13","1999","정원로 53-4"
"강원도 강릉시 교동","1773","1773","0000","부영1","월세","49.92","202001","10","4,991","8","14","1999","정원로 53-4"
"강원도 강릉시 교동","1773","1773","0000","부영1","전세","59.58","202001","14","6,573","0","6","1999","정원로 53-4"
"강원도 강릉시 교동","1773","1773","0000","부영1","전세","59.58","202001","20","9,169","0","7","1999","정원로 53-4"
"강원도 강릉시 교동","1773","1773","0000","부영1","전세","59.58","202001","23","9,169","0","1","1999","정원로 53-4"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","59.58","202001","2","5,391","17","5","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","2","7,061","10","10","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","6","6,410","15","2","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","7","7,081","10","7","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","59.58","202001","7","6,850","11","8","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","7","7,061","10","4","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","7","5,870","12","5","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","59.58","202001","7","8,160","12","4","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","59.58","202001","9","8,185","10","9","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","10","7,061","10","2","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","전세","49.92","202001","10","5,477","0","5","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","10","7,061","10","10","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","13","7,061","10","4","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","전세","49.92","202001","13","5,477","0","9","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","14","7,061","10","14","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","14","7,061","10","2","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","16","7,061","10","13","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","17","7,061","10","10","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","20","7,061","10","1","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","21","7,061","10","9","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","22","4,658","24","9","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","49.92","202001","22","7,061","10","10","1999","가작로 71"
"강원도 강릉시 교동","1747","1747","0000","부영2차","월세","59.58","202001","23","6,850","11","12","1999","가작로 71"
"강원도 강릉시 교동","45-7","0045","0007","예성그린2차","월세","56.26","202001","13","2,075","21","7","1997","명륜로 95-8"
"강원도 강릉시 내곡동","757","0757","0000","강릉석미모닝파크2차","전세","84.97","202001","21","12,530","0","7","2011","남산초교길 49"
